Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BAINBRIDGE AVE & QUEENSBRIDGE DR,Property damage only,BURNABY,2017,1,49.259758,-122.955942
BROADWAY & GAGLARDI WAY & TURNING LANE,Property damage only,BURNABY,2017,37,49.259996,-122.908803
MYRTLE ST & SMITH AVE,Property damage only,BURNABY,2017,1,49.259997,-123.019701
EASTBROOK PKY & STILL CREEK AVE,Property damage only,BURNABY,2017,2,49.260172,-123.001667
KENSINGTON AVE & SPERLING AVE,Property damage only,BURNABY,2017,2,49.260703,-122.964803
STILL CREEK AVE & WESTMINSTER AVE,Property damage only,BURNABY,2017,2,49.260839,-122.993365
BROADWAY & UNDERHILL AVE,Property damage only,BURNABY,2017,4,49.260872,-122.927701
STILL CREEK AVE & STILL CREEK DR,Property damage only,BURNABY,2017,3,49.260991,-123.00595
BROADWAY & DUTHIE AVE,Property damage only,BURNABY,2017,3,49.261052,-122.953439
BROADWAY & PHILLIPS AVE,Property damage only,BURNABY,2017,1,49.261216,-122.948616
EASTBROOK PKY & STILL CREEK DR,Property damage only,BURNABY,2017,4,49.261796,-123.001539
BROADWAY & CLIFF AVE,Property damage only,BURNABY,2017,2,49.261997,-122.95914
BROADWAY & KENSINGTON AVE,Property damage only,BURNABY,2017,27,49.262619,-122.970155
BROADWAY & COMO LAKE AVE & NORTH RD,Property damage only,BURNABY,2017,22,49.262888,-122.893127
KINGSLAND DR & LOUGHEED HWY,Property damage only,BURNABY,2017,1,49.263407,-122.975987
BOUNDARY RD & HENNING DR,Property damage only,BURNABY,2017,10,49.26366,-123.023483
DUTHIE AVE & MONTECITO DR,Property damage only,BURNABY,2017,1,49.263909,-122.953393
HUMMEL ST & SPERLING AVE,Property damage only,BURNABY,2017,1,49.263919,-122.964624
ADAIR ST & CLIFF AVE,Property damage only,BURNABY,2017,1,49.264356,-122.95912
DAWSON ST & ROSSER AVE,Property damage only,BURNABY,2017,4,49.264426,-123.006017
DAWSON ST & MADISON AVE,Property damage only,BURNABY,2017,6,49.264444,-123.008764
BROADWAY & FELL AVE,Property damage only,BURNABY,2017,5,49.264491,-122.976745
CAMARILLO PL & DUTHIE AVE,Property damage only,BURNABY,2017,1,49.265229,-122.953385
BROADWAY & LOUGHEED HWY,Property damage only,BURNABY,2017,2,49.26542,-122.979999
GILMORE AVE & LOUGHEED HWY & TURNING LANE,Property damage only,BURNABY,2017,39,49.266065,-123.014346
ALPHA AVE & LOUGHEED HWY,Property damage only,BURNABY,2017,6,49.266323,-123.000344
LOUGHEED HWY & ROSSER AVE,Property damage only,BURNABY,2017,9,49.26648,-123.006016
HALIFAX ST & WARWICK AVE,Property damage only,BURNABY,2017,1,49.267991,-122.97855
GLENWOOD DR & NORTH FRASER WAY,Casualty,BURNABY,2016,2,49.19437,-122.970093
MEADOW AVE & NORTH FRASER WAY,Casualty,BURNABY,2016,1,49.195258,-122.969113
MARINE WAY & MARKET CROSSING & TURNING LANE,Casualty,BURNABY,2020,18,49.199728,-122.979026
BYRNE RD & MARKET XING,Casualty,BURNABY,2016,1,49.200838,-122.984099
GLENLYON PKY & MARINE WAY & TURNING LANE,Casualty,BURNABY,2016,11,49.205141,-123.01009
GILLEY AVE & MARINE DR,Casualty,BURNABY,2016,2,49.205418,-122.978272
BOUNDARY RD & MARINE WAY & TURNING LANE,Casualty,BURNABY,2016,27,49.205426,-123.023441
GREENALL AVE & MARINE WAY,Casualty,BURNABY,2016,8,49.20543,-123.017917
MARINE WAY & ROSEBERRY AVE,Casualty,BURNABY,2016,1,49.205478,-123.015175
JOFFRE AVE & MARINE WAY & TURNING LANE,Casualty,BURNABY,2016,1,49.205552,-123.020644
BULLER AVE & GILLEY AVE,Casualty,BURNABY,2016,1,49.205709,-122.977504
SOUTHPOINT DR & SOUTHWYNDE AVE,Casualty,BURNABY,2016,1,49.206751,-122.964002
MARINE DR & ROYAL OAK AVE,Casualty,BURNABY,2020,7,49.206755,-122.988482
MARINE DR & NELSON AVE,Casualty,BURNABY,2016,22,49.207737,-122.998323
GREENALL AVE & MARINE DR,Casualty,BURNABY,2016,6,49.208282,-123.01789
MARINE DR & ROSEBERRY AVE,Casualty,BURNABY,2016,3,49.208612,-123.015138
10TH AVE & 17TH ST & SEVENTEENTH ST & TENTH AVE,Casualty,BURNABY,2020,1,49.208983,-122.946129
14TH AVE & GRIFFITHS DR,Casualty,BURNABY,2016,3,49.209801,-122.953734
10TH AVE & 16TH ST & SIXTEENTH ST & TENTH AVE,Casualty,BURNABY,2016,2,49.209873,-122.944452
10TH AVE & 16TH ST & SIXTEENTH ST & TENTH AVE,Casualty,BURNABY,2020,1,49.209873,-122.944452
CARSON ST & SUSSEX AVE,Casualty,BURNABY,2020,1,49.210589,-123.004977
MCKEE ST & ROYAL OAK AVE,Casualty,BURNABY,2016,1,49.211213,-122.988458
GEORGIA ST & WILLINGDON AVE,Property damage only,BURNABY,2020,1,49.278269,-123.00318
BOUNDARY RD & E GEORGIA ST & GEORGIA ST,Property damage only,BURNABY,2020,1,49.278358,-123.023528
GEORGIA ST & GILMORE AVE,Property damage only,BURNABY,2020,3,49.278366,-123.014245
FRANCES ST & SPERLING AVE,Property damage only,BURNABY,2020,1,49.279086,-122.964662
ALPHA AVE & FRANCES ST,Property damage only,BURNABY,2020,1,49.279182,-123.000291
2ND AVE & BOUNDARY RD & E 2ND AVE,Casualty,BURNABY,2019,5,49.26846,-123.023565
10TH AVE & 15TH ST & FIFTEENTH ST & TENTH AVE,Casualty,BURNABY,2016,1,49.210918,-122.942558
10TH AVE & AMESS ST & E TENTH AVE & HOLMES ST,Casualty,BURNABY,2016,1,49.235303,-122.897203
10TH AVE & HENLEY ST & TENTH AVE,Casualty,BURNABY,2016,1,49.214435,-122.936024
11TH AVE & CUMBERLAND ST,Casualty,BURNABY,2016,1,49.227958,-122.912984
11TH AVE & KINGSWAY,Casualty,BURNABY,2016,1,49.214132,-122.938863
12TH AVE & MARY AVE,Casualty,BURNABY,2016,1,49.216066,-122.937669
13TH AVE & 1ST ST,Casualty,BURNABY,2016,1,49.225655,-122.922341
