Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
NORTH RD & SMITH AVE,Property damage only,COQUITLAM,2017,3,49.260347,-122.893047
REGAN AVE & TOWNLEY ST,Property damage only,COQUITLAM,2017,1,49.26177,-122.874342
BLUE MOUNTAIN ST & GROVER AVE,Property damage only,COQUITLAM,2017,1,49.262591,-122.868812
COMO LAKE AVE & TYNDALL ST,Property damage only,COQUITLAM,2017,1,49.262975,-122.891812
CLAREMONT ST & COMO LAKE AVE,Property damage only,COQUITLAM,2017,3,49.263066,-122.890453
CHILKO DR & COMO LAKE AVE & LOUGHEED HWY & SHARPE ST & TURNING LANE,Property damage only,COQUITLAM,2017,33,49.263091,-122.79815
COMO LAKE AVE & EMERSON ST,Property damage only,COQUITLAM,2017,4,49.263251,-122.886792
COMO LAKE AVE & LINTON ST,Property damage only,COQUITLAM,2017,14,49.263375,-122.840831
COMO LAKE AVE & DOGWOOD ST,Property damage only,COQUITLAM,2017,1,49.263446,-122.883516
COMO LAKE AVE & REGENT ST,Property damage only,COQUITLAM,2017,1,49.263486,-122.856138
COMO LAKE AVE & GATENSBURY ST,Property damage only,COQUITLAM,2017,2,49.263496,-122.857566
COMO LAKE AVE & PORTER ST,Property damage only,COQUITLAM,2017,6,49.263535,-122.86319
BANTING ST & COMO LAKE AVE,Property damage only,COQUITLAM,2017,1,49.263605,-122.877045
COMO LAKE AVE & ROBINSON ST,Property damage only,COQUITLAM,2017,11,49.263617,-122.880043
GREENE ST & IRVINE ST,Property damage only,COQUITLAM,2017,1,49.26394,-122.794876
KINGSWAY AVE & WESTWOOD ST,Property damage only,COQUITLAM,2017,13,49.265176,-122.79085
DOGWOOD ST & MORRISON AVE,Property damage only,COQUITLAM,2017,1,49.265492,-122.883675
GREENE ST & WESTWOOD ST,Property damage only,COQUITLAM,2017,1,49.265565,-122.790747
BARNET HWY & LANSDOWNE DR & TURNING LANE,Property damage only,COQUITLAM,2020,13,49.277839,-122.808323
BARNET HWY & BOND ST & TURNING LANE,Property damage only,COQUITLAM,2020,1,49.277857,-122.812688
BARNET HWY & FALCON DR & TURNING LANE,Property damage only,COQUITLAM,2020,9,49.277898,-122.818365
LINCOLN AVE & OXFORD ST,Property damage only,COQUITLAM,2020,1,49.278367,-122.767252
LINCOLN AVE & PIPELINE RD,Property damage only,COQUITLAM,2020,12,49.278641,-122.788197
FALCON DR & RUNNEL DR,Property damage only,COQUITLAM,2020,5,49.278852,-122.818377
NAKOMA PL & WINDSOR GATE,Property damage only,COQUITLAM,2020,1,49.279725,-122.785689
WINDSOR GATE & WINDSOR MEWS,Property damage only,COQUITLAM,2020,1,49.279826,-122.786496
PIPELINE RD & WINDSOR GATE,Property damage only,COQUITLAM,2020,1,49.280054,-122.787483
BAKER DR & THERMAL DR,Casualty,COQUITLAM,2019,1,49.268423,-122.829546
ALDERSON AVE & MARMONT ST,Casualty,COQUITLAM,2016,1,49.239713,-122.862249
ALLARD ST & BRUNETTE AVE,Casualty,COQUITLAM,2016,1,49.237326,-122.869235
APPIAN WAY & DENTON ST,Casualty,COQUITLAM,2016,1,49.252787,-122.887158
APPIAN WAY & FAIRVIEW ST,Casualty,COQUITLAM,2016,1,49.25308,-122.882729
ATLANTIC AVE & JOHNSON ST,Casualty,COQUITLAM,2016,1,49.280924,-122.801684
ATLANTIC AVE & PACIFIC ST,Casualty,COQUITLAM,2016,1,49.281771,-122.798867
ATLANTIC AVE & PINETREE WAY & TURNING LANE,Casualty,COQUITLAM,2016,1,49.281725,-122.793291
AUSTIN AVE & BRAY ST,Casualty,COQUITLAM,2016,1,49.249087,-122.820872
AUSTIN AVE & MIDVALE ST,Casualty,COQUITLAM,2016,1,49.249035,-122.837979
BAKER DR & THERMAL DR,Casualty,COQUITLAM,2016,1,49.268423,-122.829546
BARTLETT AVE & GATENSBURY ST,Casualty,COQUITLAM,2016,1,49.26937,-122.857439
BAYCREST AVE & VICTORIA DR,Casualty,COQUITLAM,2016,1,49.288171,-122.733759
BEGIN ST & BRUNETTE AVE,Casualty,COQUITLAM,2016,1,49.239208,-122.859773
BERNATCHEY ST & LOUGHEED HWY & TURNING LANE,Casualty,COQUITLAM,2016,1,49.237861,-122.877349
BLUE MOUNTAIN ST & DANSEY AVE,Casualty,COQUITLAM,2016,1,49.247166,-122.8713
BLUE MOUNTAIN ST & RIDGEWAY AVE,Casualty,COQUITLAM,2016,1,49.249721,-122.869106
BLUE MOUNTAIN ST & RUNNYMEDE AVE,Casualty,COQUITLAM,2016,1,49.258991,-122.868902
BLUE MOUNTAIN ST & SMITH AVE,Casualty,COQUITLAM,2016,1,49.259919,-122.868895
BLUE MOUNTAIN ST & WALLS AVE,Casualty,COQUITLAM,2016,1,49.244497,-122.872867
BOOTH AVE & CAYER ST,Casualty,COQUITLAM,2016,1,49.237498,-122.846692
BRESLAY ST & SMITH AVE,Casualty,COQUITLAM,2016,1,49.260212,-122.884743
BRUNETTE AVE & BRUNETTE AVE OFFRAMP,Casualty,COQUITLAM,2016,1,49.234686,-122.878123
BRUNETTE AVE & CAYER ST,Casualty,COQUITLAM,2016,1,49.23843,-122.846333
BRUNETTE AVE & LAURENTIAN CRES,Casualty,COQUITLAM,2016,1,49.240002,-122.849725
CAPE HORN AVE & DAWES HILL RD,Casualty,COQUITLAM,2016,1,49.23803,-122.825793
CHARLAND AVE & JOYCE ST,Casualty,COQUITLAM,2016,1,49.248079,-122.872962
CHARLAND AVE & MARMONT ST,Casualty,COQUITLAM,2016,1,49.248027,-122.862174
CHARLAND AVE & NELSON ST,Casualty,COQUITLAM,2016,1,49.248044,-122.865284
CHERRYBROOK PL & DEWDNEY TRUNK RD & HOSMER CRT,Casualty,COQUITLAM,2016,1,49.268053,-122.791912
CHILKO DR & KALAMALKA DR,Casualty,COQUITLAM,2016,1,49.259429,-122.802233
CHILKO DR & MARA DR,Casualty,COQUITLAM,2016,1,49.2558,-122.809458
CHILKO DR & RIVERVIEW CRES,Casualty,COQUITLAM,2016,1,49.253603,-122.807216
