Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
116 ST & 83 AVE,Casualty,DELTA,2017,2,49.154118,-122.901502
116 ST & 83 AVE,Casualty,DELTA,2018,2,49.154118,-122.901502
NORDEL WAY & RIVER RD,Property damage only,DELTA,2018,8,49.154251,-122.944842
112 ST & 83 AVE,Casualty,DELTA,2018,1,49.15427,-122.912395
92 ST & RIVER RD & TURNING LANE,Property damage only,DELTA,2018,3,49.154756,-122.968446
109B ST & BRANDY DR,Casualty,DELTA,2017,1,49.155281,-122.919135
110 ST & 83A AVE & BRANDY DR,Casualty,DELTA,2017,1,49.155292,-122.91804
116 ST & 84 AVE,Casualty,DELTA,2017,4,49.155908,-122.901523
116 ST & 84 AVE,Casualty,DELTA,2018,5,49.155908,-122.901523
116 ST & 84 AVE,Property damage only,DELTA,2018,4,49.155908,-122.901523
117B ST & 84 AVE,Casualty,DELTA,2018,1,49.155922,-122.896745
110A ST & 84 AVE,Casualty,DELTA,2017,1,49.156064,-122.916998
84 AVE & DELSOM CRES,Property damage only,DELTA,2018,1,49.156066,-122.923605
ALEX FRASER BRIDGE & HWY 17,Casualty,DELTA,2018,14,49.156572,-122.941341
ALEX FRASER BRIDGE & HWY 17,Property damage only,DELTA,2018,19,49.156572,-122.941341
120 ST & 85 AVE,Casualty,DELTA,2017,4,49.157419,-122.890372
120 ST & 85 AVE,Property damage only,DELTA,2018,2,49.157419,-122.890372
84 AVE & NORDEL WAY,Casualty,DELTA,2017,28,49.158056,-122.926637
116 ST & 86 AVE,Property damage only,DELTA,2018,3,49.159564,-122.902143
112 ST & 86 AVE,Property damage only,DELTA,2018,2,49.159662,-122.912377
BROOKE RD & NORDEL WAY,Property damage only,DELTA,2018,2,49.160449,-122.921537
119 ST & NORDEL WAY,Property damage only,DELTA,2018,1,49.161719,-122.892981
116 ST & NORDEL WAY,Property damage only,DELTA,2018,16,49.16172,-122.902147
112 ST & NORDEL WAY,Casualty,DELTA,2018,13,49.162,-122.912393
120 ST & NORDEL WAY,Casualty,DELTA,2017,56,49.162019,-122.890338
120 ST & NORDEL WAY,Casualty,DELTA,2018,54,49.162019,-122.890338
120 ST & NORDEL WAY,Property damage only,DELTA,2018,47,49.162019,-122.890338
116 ST & 87A AVE,Casualty,DELTA,2017,1,49.162517,-122.902159
116 ST & 87A AVE,Property damage only,DELTA,2018,2,49.162517,-122.902159
120 ST & 84 AVE,Casualty,DELTA,2017,22,49.155982,-122.890393
104 ST & 59 AVE,Casualty,DELTA,2016,1,49.109851,-122.934973
104 ST & 64 AVE,Casualty,DELTA,2016,1,49.119195,-122.934837
108 ST & 80 AVE,Casualty,DELTA,2016,1,49.148459,-122.923626
109B ST & 84 AVE,Casualty,DELTA,2016,1,49.156055,-122.918863
110 ST & 83A AVE & BRANDY DR,Casualty,DELTA,2016,1,49.155292,-122.91804
110 ST & 84 AVE,Casualty,DELTA,2016,1,49.156051,-122.918041
111B ST & 82 AVE,Casualty,DELTA,2016,1,49.152239,-122.913562
112 ST & 83 AVE,Casualty,DELTA,2016,1,49.15427,-122.912395
112 ST & 88 AVE,Casualty,DELTA,2016,1,49.163335,-122.912359
112 ST & HWY 99,Casualty,DELTA,2016,1,49.091443,-122.912569
112 ST & LARSON RD,Casualty,DELTA,2016,1,49.146544,-122.912569
112B ST & 81 AVE,Casualty,DELTA,2016,1,49.150466,-122.910308
113A ST & 80 AVE,Casualty,DELTA,2016,1,49.148641,-122.908821
113B ST & 81 AVE,Casualty,DELTA,2016,1,49.150458,-122.908078
114 ST & 80 AVE,Casualty,DELTA,2016,1,49.148632,-122.906992
114 ST & 82 AVE,Casualty,DELTA,2016,1,49.152217,-122.906966
114 ST & 84 AVE,Casualty,DELTA,2016,1,49.155967,-122.906954
114 ST & 92 AVE,Casualty,DELTA,2016,1,49.170636,-122.907729
114 ST & 95A AVE,Casualty,DELTA,2016,1,49.176309,-122.906806
114A ST & 83 AVE,Casualty,DELTA,2016,1,49.154174,-122.905768
115 ST & 78 AVE,Casualty,DELTA,2016,1,49.144843,-122.904216
116 ST & 72A AVE,Casualty,DELTA,2016,1,49.134834,-122.901513
116 ST & 73A AVE,Casualty,DELTA,2016,1,49.136311,-122.901419
116 ST & 78A AVE,Casualty,DELTA,2016,1,49.145963,-122.901434
116 ST & 81A AVE,Casualty,DELTA,2016,1,49.151314,-122.901455
116 ST & 84B AVE,Casualty,DELTA,2016,1,49.157356,-122.901929
116 ST & PARKWOOD PL,Casualty,DELTA,2016,1,49.138191,-122.901422
117 ST & 75A AVE,Casualty,DELTA,2016,1,49.140152,-122.898718
117 ST & 82 AVE,Casualty,DELTA,2016,1,49.152242,-122.898446
118 ST & 75A AVE,Casualty,DELTA,2016,1,49.140155,-122.895885
118 ST & 77B AVE,Casualty,DELTA,2016,1,49.144435,-122.895866
118 ST & 83 AVE,Casualty,DELTA,2016,1,49.154431,-122.89599
118 ST & 88A AVE,Casualty,DELTA,2016,1,49.163761,-122.896002
118 ST & 92 AVE,Casualty,DELTA,2016,1,49.170511,-122.895736
118 ST & 96 AVE,Casualty,DELTA,2016,1,49.177132,-122.895682
119 ST & 79A AVE,Casualty,DELTA,2016,1,49.147721,-122.893642
119 ST & 80 AVE,Casualty,DELTA,2016,1,49.14859,-122.893646
119 ST & NORDEL WAY,Casualty,DELTA,2016,1,49.161719,-122.892981
119B ST & 95A AVE,Casualty,DELTA,2016,1,49.176108,-122.892287
12 AVE & 53A ST,Casualty,DELTA,2016,1,49.0247,-123.075471
12 AVE & BEACH GROVE RD & BOUNDARY BAY RD,Casualty,DELTA,2016,1,49.024554,-123.058512
12 AVE & CLIFF DR,Casualty,DELTA,2016,1,49.024704,-123.085602
120 ST & HOLT RD,Casualty,DELTA,2016,1,49.169177,-122.890278
14 AVE & 56 ST,Casualty,DELTA,2016,1,49.028366,-123.068678
16 AVE & 55 ST,Casualty,DELTA,2016,1,49.032042,-123.071398
28 AVE & 53 ST,Casualty,DELTA,2016,1,49.053868,-123.076903
34B AVE OVERPASS & HWY 17A,Casualty,DELTA,2016,1,49.066023,-123.057204
4 AVE & 56 ST & SOUTHLANDS RD,Casualty,DELTA,2016,1,49.010096,-123.068646
44B AVE & 49 ST,Casualty,DELTA,2016,1,49.084414,-123.087618
45 AVE & 51 ST,Casualty,DELTA,2016,1,49.085154,-123.08262
45 AVE & ARTHUR DR,Casualty,DELTA,2016,1,49.085139,-123.079084
47 AVE & ARTHUR DR,Casualty,DELTA,2016,1,49.088299,-123.08008
47A AVE & 48B ST,Casualty,DELTA,2016,1,49.089255,-123.088698
47A AVE & GARRY ST,Casualty,DELTA,2016,1,49.089244,-123.086748
47A ST & 48 AVE,Casualty,DELTA,2016,1,49.090091,-123.091509
48B AVE & 57 ST,Casualty,DELTA,2016,1,49.091392,-123.065259
52 ST & UPLAND DR,Casualty,DELTA,2016,1,49.028433,-123.079792
53 ST & 53A ST & 8A AVE,Casualty,DELTA,2016,1,49.018072,-123.07673
54A ST & LADNER TRUNK RD,Casualty,DELTA,2016,1,49.090219,-123.072347
55B ST & GROVE AVE,Casualty,DELTA,2016,1,49.09507,-123.068442
56 ST & 6 AVE,Casualty,DELTA,2016,1,49.013768,-123.068623
56 ST & 8 AVE,Casualty,DELTA,2016,1,49.01737,-123.068654
56 ST & 9 AVE,Casualty,DELTA,2016,1,49.019168,-123.068667
57A ST & CRESCENT DR,Casualty,DELTA,2016,1,49.097725,-123.063633
57A ST & GROVE AVE,Casualty,DELTA,2016,1,49.095058,-123.063675
60 AVE & 62B ST & HWY 17A & TURNING LANE,Casualty,DELTA,2016,1,49.112156,-123.051242
60 AVE & 64 ST,Casualty,DELTA,2016,1,49.111956,-123.046084
60 AVE & RIVER RD,Casualty,DELTA,2016,1,49.114683,-123.06177
61 ST & BRODIE RD,Casualty,DELTA,2016,1,49.09388,-123.05438
62B ST & RIVER RD,Casualty,DELTA,2016,1,49.126246,-123.04956
64 AVE & SUNWOOD DR,Casualty,DELTA,2016,1,49.119366,-122.893165
64 ST & DELTAPORT WAY OFFRAMP & DELTAPORT WAY ONRAMP & HWY 17 & SERVICE ROAD OFFRAMP,Casualty,DELTA,2016,1,49.059494,-123.046653
7 AVE & GILCHRIST DR,Casualty,DELTA,2016,1,49.015114,-123.070019
70 AVE & NICHOLSON RD,Casualty,DELTA,2016,1,49.130348,-122.893617
72 AVE & BREWSTER DR W,Casualty,DELTA,2016,1,49.133974,-122.899545
72 ST & 72 ST OFFRAMP & BURNS DR & HWY 17 & HWY 17 OFFRAMP & HWY 17A OFFRAMP & HWY 99 & HWY 99 OFFRAMP,Casualty,DELTA,2016,1,49.09531,-123.026444
72 ST & PROGRESS WAY,Casualty,DELTA,2016,1,49.133368,-123.023788
76 ST & RIVER RD & ROSS RD,Casualty,DELTA,2016,1,49.14006,-123.013862
77 AVE & SWANSON DR,Casualty,DELTA,2016,1,49.143102,-122.909574
84 AVE & BROOKE RD,Casualty,DELTA,2016,1,49.156053,-122.9208
86A AVE & SHEPHERD WAY,Casualty,DELTA,2016,1,49.160442,-122.917434
