Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
BROOKES ST & SALTER ST,Casualty,NEW WESTMINSTER,2016,1,49.19365,-122.923517
FOUNDRY ROW & FURNESS ST,Casualty,NEW WESTMINSTER,2016,1,49.19503,-122.927539
HWY 91A & HWY 91A OFFRAMP & MARINE WAY ONRAMP & QUEENSBOROUGH BRIDGE & SIXTH AVE ONRAMP & STEWARDSON WAY & STEWARDSON WAY ONRAMP & EMERGENCY LANE,Casualty,NEW WESTMINSTER,2020,1,49.197808,-122.948705
HWY 91A & STEWARDSON WAY,Casualty,NEW WESTMINSTER,2020,6,49.19791,-122.948864
SIXTH AVE & TWENTY-SECOND ST,Casualty,NEW WESTMINSTER,2020,1,49.199141,-122.949967
SEVENTH AVE & TWENTY-SECOND ST,Casualty,NEW WESTMINSTER,2016,1,49.19956,-122.950457
22ND ST STATION LOOP & SEVENTH AVE,Casualty,NEW WESTMINSTER,2020,1,49.200243,-122.949198
COLUMBIA ST & ROYAL AVE & STEWARDSON WAY,Casualty,NEW WESTMINSTER,2016,12,49.200405,-122.920504
STEWARDSON WAY & TWELFTH ST,Casualty,NEW WESTMINSTER,2016,5,49.200673,-122.922265
ELEVENTH ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,2,49.200821,-122.91976
BEGBIE ST & FRONT ST & QUAYSIDE DR,Casualty,NEW WESTMINSTER,2020,3,49.201328,-122.909772
BEGBIE ST & FRONT ST,Casualty,NEW WESTMINSTER,2016,2,49.201384,-122.909841
SEVENTH AVE & TWENTIETH ST,Casualty,NEW WESTMINSTER,2016,8,49.201543,-122.946722
BEGBIE ST & COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,6,49.201838,-122.910401
ROYAL AVE & TENTH ST,Casualty,NEW WESTMINSTER,2016,10,49.202102,-122.917422
HAMILTON ST & TWENTIETH ST,Casualty,NEW WESTMINSTER,2020,2,49.202201,-122.947554
QUAYSIDE DR & STEWARDSON WAY & THIRD AVE,Casualty,NEW WESTMINSTER,2020,5,49.202279,-122.926559
ELEVENTH ST & QUEENS AVE,Casualty,NEW WESTMINSTER,2020,1,49.202305,-122.92162
STEWARDSON WAY & THIRD AVE,Casualty,NEW WESTMINSTER,2016,11,49.202358,-122.92643
MCINNES ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,1,49.202425,-122.916761
AGNES ST & BLACKIE ST,Casualty,NEW WESTMINSTER,2016,2,49.202514,-122.914197
FRONT ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,1,49.202787,-122.907333
CARNARVON ST & LORNE ST,Casualty,NEW WESTMINSTER,2016,1,49.20303,-122.910825
STEWARDSON WAY & THIRTEENTH ST,Casualty,NEW WESTMINSTER,2016,1,49.203063,-122.927429
COLUMBIA ST & SIXTH ST,Casualty,NEW WESTMINSTER,2020,3,49.203232,-122.907813
EDINBURGH ST & TWENTIETH ST,Casualty,NEW WESTMINSTER,2020,1,49.203524,-122.949229
CLARKSON ST & SIXTH ST,Casualty,NEW WESTMINSTER,2020,1,49.203638,-122.908359
EIGHTH ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,12,49.203707,-122.914593
CHURCH ST & COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,4,49.20391,-122.906557
STEWARDSON WAY & TURNING LANE,Casualty,NEW WESTMINSTER,2020,1,49.20393,-122.933077
FIFTH AVE & STEWARDSON WAY,Casualty,NEW WESTMINSTER,2020,5,49.203961,-122.933784
SIXTEENTH ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.204196,-122.936953
FOURTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2020,2,49.204705,-122.926858
ROYAL AVE & SEVENTH ST,Casualty,NEW WESTMINSTER,2020,4,49.204885,-122.912432
BLACKWOOD ST & COLUMBIA ST,Casualty,NEW WESTMINSTER,2016,1,49.204934,-122.904657
BLACKWOOD ST & COLUMBIA ST,Casualty,NEW WESTMINSTER,2020,1,49.204934,-122.904657
NINTH AVE & TWENTIETH ST,Casualty,NEW WESTMINSTER,2020,1,49.205382,-122.951547
FOURTEENTH ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.20597,-122.933652
FOURTEENTH ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2020,2,49.20597,-122.933652
COLUMBIA ST & ELLIOT ST,Casualty,NEW WESTMINSTER,2020,1,49.206456,-122.901647
SIXTH AVE & THIRTEENTH ST,Casualty,NEW WESTMINSTER,2016,1,49.2068,-122.932105
FOURTH ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2020,1,49.207062,-122.908407
SIXTH AVE & TWELFTH ST,Casualty,NEW WESTMINSTER,2020,2,49.207609,-122.930604
ROYAL AVE & THIRD ST & TURNING LANE,Casualty,NEW WESTMINSTER,2016,3,49.207877,-122.90692
FOURTEENTH ST & HAMILTON ST,Casualty,NEW WESTMINSTER,2016,1,49.208053,-122.936279
EIGHTH ST & FOURTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.208243,-122.920308
SIXTH ST & THIRD AVE,Casualty,NEW WESTMINSTER,2016,4,49.208687,-122.914713
SIXTH ST & THIRD AVE,Casualty,NEW WESTMINSTER,2020,1,49.208687,-122.914713
PEELE ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,1,49.208748,-122.905429
EIGHTH AVE & FOURTEENTH ST,Casualty,NEW WESTMINSTER,2016,1,49.208825,-122.937255
CLINTON PL & PARK ROW & ROYAL AVE & SECOND ST & TURNING LANE,Casualty,NEW WESTMINSTER,2020,2,49.209181,-122.904788
EIGHTH ST & FIFTH AVE,Casualty,NEW WESTMINSTER,2016,3,49.209779,-122.922243
EIGHTH ST & FIFTH AVE,Casualty,NEW WESTMINSTER,2020,6,49.209779,-122.922243
FIRST ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2020,4,49.209998,-122.902705
FOURTH AVE & SIXTH ST,Casualty,NEW WESTMINSTER,2020,1,49.210248,-122.916606
NINTH ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,2,49.210273,-122.925648
DUFFERIN ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2020,3,49.210721,-122.90143
10TH AVE & 15TH ST & FIFTEENTH ST & TENTH AVE,Casualty,NEW WESTMINSTER,2020,3,49.210918,-122.942558
EIGHTH ST & SIXTH AVE,Casualty,NEW WESTMINSTER,2016,13,49.211174,-122.924021
BRANTFORD ST & SIXTH ST,Casualty,NEW WESTMINSTER,2020,1,49.211244,-122.917889
HWY 1A & ROYAL AVE & HIGHWAY RAMP,Casualty,NEW WESTMINSTER,2016,3,49.211366,-122.900284
COLUMBIA ST & E COLUMBIA ST & E ROYAL AVE & HWY 1A & LEOPOLD PL & MCBRIDE BLVD & ROYAL AVE & HIGHWAY RAMP,Casualty,NEW WESTMINSTER,2020,23,49.211366,-122.900283
HWY 1A & ROYAL AVE,Casualty,NEW WESTMINSTER,2020,1,49.211391,-122.900237
10TH AVE & 15TH ST & FIFTEENTH ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,1,49.210918,-122.942558
10TH AVE & AMESS ST & E TENTH AVE & HOLMES ST,Casualty,NEW WESTMINSTER,2016,1,49.235303,-122.897203
10TH AVE & HENLEY ST & TENTH AVE,Casualty,NEW WESTMINSTER,2016,1,49.214435,-122.936024
22ND ST STATION LOOP & SEVENTH AVE,Casualty,NEW WESTMINSTER,2016,1,49.200243,-122.949198
AGNES ST & EIGHTH ST,Casualty,NEW WESTMINSTER,2016,1,49.202847,-122.913531
AGNES ST & SIXTH ST,Casualty,NEW WESTMINSTER,2016,1,49.20486,-122.909901
ALBERTA ST & RICHMOND ST,Casualty,NEW WESTMINSTER,2016,1,49.223718,-122.898697
BEGBIE ST & CARNARVON ST,Casualty,NEW WESTMINSTER,2016,1,49.202713,-122.911418
BELMONT ST & SEVENTH ST,Casualty,NEW WESTMINSTER,2016,1,49.211626,-122.920954
BOUNDARY RD & HWY 91 & HWY 91A,Casualty,NEW WESTMINSTER,2016,1,49.177069,-122.95734
BRAID ST & E EIGHTH AVE,Casualty,NEW WESTMINSTER,2016,1,49.231678,-122.894512
BRAID ST & FADER ST,Casualty,NEW WESTMINSTER,2016,1,49.23158,-122.890146
BRAID ST & KELLY ST,Casualty,NEW WESTMINSTER,2016,1,49.231592,-122.89143
BRUNETTE AVE & TURNING LANE,Casualty,NEW WESTMINSTER,2016,1,49.227688,-122.886806
BUSHBY ST & ROYAL AVE,Casualty,NEW WESTMINSTER,2016,1,49.21148,-122.900076
CAMPBELL ST & SALTER ST,Casualty,NEW WESTMINSTER,2016,1,49.186387,-122.938202
CARTER ST & SALTER ST,Casualty,NEW WESTMINSTER,2016,1,49.184823,-122.94195
