Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
AVIATION AVE & NORTH SERVICE RD,Casualty,RICHMOND,2016,3,49.193729,-123.166714
BECKWITH RD & GREAT CANADIAN WAY,Casualty,RICHMOND,2016,7,49.193767,-123.124358
BECKWITH RD & SMITH ST,Casualty,RICHMOND,2020,1,49.193804,-123.125387
BECKWITH RD & SEXSMITH RD,Casualty,RICHMOND,2016,2,49.193807,-123.12811
VIKING PL & VIKING WAY,Casualty,RICHMOND,2020,1,49.19454,-123.073325
CHARLES ST & SMITH ST & VAN HORNE WAY,Casualty,RICHMOND,2016,1,49.194693,-123.125401
NO 5 RD & RIVER RD,Casualty,RICHMOND,2016,1,49.196521,-123.091431
NO 5 RD & RIVER RD,Casualty,RICHMOND,2020,1,49.196521,-123.091431
KNIGHT ST BRIDGE & VULCAN WAY,Casualty,RICHMOND,2016,5,49.196861,-123.077461
KNIGHT ST BRIDGE & VULCAN WAY,Casualty,RICHMOND,2020,2,49.196861,-123.077461
BURROWS RD & NO 6 RD,Casualty,RICHMOND,2016,2,49.197381,-123.069236
NO 6 RD & VULCAN WAY,Casualty,RICHMOND,2016,2,49.19884,-123.069212
NO 4 RD & RIVER DR,Casualty,RICHMOND,2016,2,49.199136,-123.11386
NO 4 RD & RIVER DR,Casualty,RICHMOND,2020,1,49.199136,-123.11386
GRAUER RD & TEMPLETON ST,Casualty,RICHMOND,2020,1,49.199346,-123.149104
EBURNE WAY & MITCHELL RD,Casualty,RICHMOND,2016,1,49.201391,-123.09135
NO 7 RD & RIVER RD,Casualty,RICHMOND,2016,2,49.202065,-123.046796
NO 7 RD & RIVER RD,Casualty,RICHMOND,2020,1,49.202065,-123.046796
KNIGHT ST BRIDGE & MITCHELL RD & MITCHELL RD OFFRAMP & MITCHELL RD ONRAMP & INDUSTRIAL ACCESS ROAD & TURNING LANE,Casualty,RICHMOND,2016,8,49.205303,-123.077464
