Location,Crash Type,Municipality,Year,Crash Count,Latitude,Longitude
105A AVE & 144 ST,Casualty,SURREY,2016,1,49.193981,-122.823064
105A AVE & WHALLEY BLVD,Casualty,SURREY,2016,3,49.194412,-122.84242
105A AVE & KING GEORGE BLVD,Casualty,SURREY,2016,5,49.194447,-122.845315
106 AVE & 140 ST,Casualty,SURREY,2016,1,49.195179,-122.834122
106 AVE & 159 ST,Casualty,SURREY,2020,1,49.195185,-122.78142
106 AVE & KING GEORGE BLVD,Casualty,SURREY,2016,3,49.195231,-122.845418
106 AVE & CITY PKY,Casualty,SURREY,2020,1,49.195246,-122.848187
106 AVE & 132 ST,Casualty,SURREY,2020,1,49.195372,-122.856459
156 ST & TRANS-CANADA HWY,Casualty,SURREY,2016,7,49.195385,-122.789759
103A AVE & HWY 17 & HWY 17 OFFRAMP & HWY 17 ONRAMP & TANNERY RD & TANNERY RD OFFRAMP & TURNING LANE,Casualty,SURREY,2020,2,49.196183,-122.893087
124 ST & OLD YALE RD,Casualty,SURREY,2016,1,49.197528,-122.878718
107A AVE & 155A ST,Casualty,SURREY,2016,1,49.197975,-122.791236
108 AVE & 150 ST,Casualty,SURREY,2016,7,49.198738,-122.80625
108 AVE & ORIOLE DR,Casualty,SURREY,2016,4,49.19874,-122.808648
108 AVE & ORIOLE DR,Casualty,SURREY,2020,2,49.19874,-122.808648
108 AVE & 152 ST,Casualty,SURREY,2020,31,49.198752,-122.800842
108 AVE & 146 ST,Casualty,SURREY,2016,13,49.198772,-122.817446
108 AVE & 146 ST,Casualty,SURREY,2020,10,49.198772,-122.817446
108 AVE & 154 ST,Casualty,SURREY,2016,2,49.198807,-122.79431
108 AVE & 156 ST,Casualty,SURREY,2016,1,49.198842,-122.789752
108 AVE & 138 ST,Casualty,SURREY,2020,2,49.198863,-122.83962
108 AVE & WHALLEY BLVD,Casualty,SURREY,2020,3,49.198868,-122.842667
108 AVE & KING GEORGE BLVD & TURNING LANE,Casualty,SURREY,2020,15,49.198876,-122.845956
108 AVE & CITY PKY,Casualty,SURREY,2016,1,49.19891,-122.848803
108 AVE & 132A ST,Casualty,SURREY,2016,1,49.198936,-122.855051
108 AVE & 132 ST,Casualty,SURREY,2016,12,49.198944,-122.856471
108 AVE & 128 ST & OLD YALE RD,Casualty,SURREY,2016,4,49.199362,-122.867602
108 AVE & 128 ST & OLD YALE RD,Casualty,SURREY,2020,1,49.199362,-122.867602
GATEWAY DR & UNIVERSITY DR,Casualty,SURREY,2020,1,49.200198,-122.851279
109 AVE & 164 ST,Casualty,SURREY,2020,1,49.200648,-122.767521
109 AVE & 141 ST,Casualty,SURREY,2020,1,49.200699,-122.831246
109 AVE & 142A ST,Casualty,SURREY,2020,1,49.200707,-122.827102
109 AVE & 130 ST,Casualty,SURREY,2016,1,49.200895,-122.862041
109 AVE & 130 ST,Casualty,SURREY,2020,1,49.200895,-122.862041
136 ST & BENTLEY RD & HILTON RD,Casualty,SURREY,2016,1,49.201492,-122.845298
136 ST & BENTLEY RD & HILTON RD,Casualty,SURREY,2020,1,49.201492,-122.845298
BRIDGE RD & HWY 17 & OLD YALE RD,Casualty,SURREY,2020,14,49.201839,-122.887817
110 AVE & 148 ST,Casualty,SURREY,2020,1,49.202432,-122.812582
110 AVE & 156 ST,Casualty,SURREY,2016,1,49.202477,-122.789801
110 AVE & 156 ST,Casualty,SURREY,2020,2,49.202477,-122.789801
110 AVE & 141 ST,Casualty,SURREY,2020,1,49.202499,-122.831281
110 AVE & 140 ST & HANSEN RD,Casualty,SURREY,2016,1,49.202516,-122.834288
KING GEORGE BLVD & UNIVERSITY DR,Casualty,SURREY,2020,7,49.202665,-122.850991
110 AVE & 131 ST,Casualty,SURREY,2016,1,49.202788,-122.859223
152 ST OFFRAMP & TRANS-CANADA HWY,Casualty,SURREY,2016,3,49.203599,-122.800447
GROSVENOR RD & HANSEN RD,Casualty,SURREY,2020,3,49.204001,-122.836169
PARTRIDGE CRES & SWALLOW DR,Casualty,SURREY,2016,1,49.204512,-122.80834
143A ST & KINDERSLEY DR,Casualty,SURREY,2020,1,49.20466,-122.82513
111 AVE & 129 ST,Casualty,SURREY,2016,1,49.204712,-122.864702
HANSEN RD & KALMAR RD,Casualty,SURREY,2016,1,49.204913,-122.837305
112 AVE OFFRAMP & 120 ST & KING GEORGE BLVD & SCOTT RD & SCOTT RD OFFRAMP & SCOTT RD ONRAMP & TURNING LANE,Casualty,SURREY,2016,10,49.205908,-122.874956
KING GEORGE BLVD & SCOTT RD OFFRAMP,Casualty,SURREY,2020,2,49.205917,-122.87499
112 AVE & 136 ST,Casualty,SURREY,2016,6,49.206164,-122.845317
112 AVE & 136 ST,Casualty,SURREY,2020,2,49.206164,-122.845317
112 AVE & INDUSTRIAL RD,Casualty,SURREY,2016,1,49.20619,-122.884575
112 AVE & 135 ST,Casualty,SURREY,2016,1,49.206194,-122.84821
112 AVE & 133 ST,Casualty,SURREY,2016,1,49.206217,-122.853938
112A AVE & 128 ST & BRIDGEVIEW DR & KING GEORGE BLVD & TURNING LANE,Casualty,SURREY,2016,68,49.206298,-122.867395
112 AVE & 124 ST,Casualty,SURREY,2020,2,49.206366,-122.878632
132 ST & KING GEORGE BLVD,Casualty,SURREY,2016,12,49.206596,-122.856897
GROSVENOR RD & KINDERSLEY DR,Casualty,SURREY,2020,1,49.206617,-122.831305
113 AVE & 125A ST,Casualty,SURREY,2020,1,49.20803,-122.874437
114 AVE & 140 ST,Casualty,SURREY,2016,1,49.209542,-122.834229
115 AVE & BRIDGEVIEW DR,Casualty,SURREY,2016,1,49.211237,-122.861867
115 AVE & 131 ST,Casualty,SURREY,2020,2,49.211247,-122.859097
115 AVE & 132A ST,Casualty,SURREY,2020,1,49.211326,-122.855047
115 AVE & 138 ST,Casualty,SURREY,2016,1,49.211486,-122.839701
151 ST & 82A AVE,Casualty,SURREY,2018,1,49.153403,-122.804219
196 ST & 83 AVE,Casualty,SURREY,2017,1,49.153802,-122.679286
196 ST & 83 AVE,Property damage only,SURREY,2018,1,49.153802,-122.679286
184 ST & HARVIE RD,Property damage only,SURREY,2018,2,49.154129,-122.711301
140 ST & 83A AVE,Casualty,SURREY,2018,2,49.154468,-122.834612
146 ST & FIRE LANE,Property damage only,SURREY,2018,1,49.155074,-122.817572
162 ST & FRASER HWY & TURNING LANE,Casualty,SURREY,2017,5,49.155231,-122.773476
162 ST & FRASER HWY & TURNING LANE,Casualty,SURREY,2018,7,49.155231,-122.773476
128 ST & 84 AVE,Casualty,SURREY,2018,28,49.15535,-122.868017
128 ST & 84 AVE,Property damage only,SURREY,2018,22,49.15535,-122.868017
129 ST & 84 AVE,Casualty,SURREY,2017,1,49.155371,-122.865541
129 ST & 84 AVE,Casualty,SURREY,2018,4,49.155371,-122.865541
130 ST & 84 AVE,Casualty,SURREY,2017,2,49.155383,-122.86233
132 ST & 84 AVE,Casualty,SURREY,2017,15,49.155419,-122.856827
132 ST & 84 AVE,Casualty,SURREY,2018,11,49.155419,-122.856827
84 AVE & KING GEORGE BLVD,Casualty,SURREY,2018,18,49.155427,-122.84574
133 ST & 84 AVE,Casualty,SURREY,2017,1,49.155435,-122.854033
134 ST & 84 AVE,Casualty,SURREY,2017,1,49.155442,-122.851383
134 ST & 84 AVE,Property damage only,SURREY,2018,1,49.155442,-122.851383
134B ST & 84 AVE,Casualty,SURREY,2017,1,49.155451,-122.84934
160 ST & 84 AVE,Casualty,SURREY,2017,8,49.155457,-122.778863
160 ST & 84 AVE,Casualty,SURREY,2018,7,49.155457,-122.778863
164 ST & 84 AVE,Casualty,SURREY,2018,1,49.155467,-122.76779
164 ST & 84 AVE,Property damage only,SURREY,2018,1,49.155467,-122.76779
163 ST & 84 AVE,Casualty,SURREY,2017,1,49.155471,-122.770504
147 ST & 84 AVE,Casualty,SURREY,2018,2,49.155513,-122.814814
148 ST & 84 AVE,Property damage only,SURREY,2018,3,49.155513,-122.812426
141 ST & 84 AVE,Property damage only,SURREY,2018,1,49.155516,-122.831642
142 ST & 84 AVE,Casualty,SURREY,2018,2,49.155516,-122.828958
152 ST & 84 AVE,Property damage only,SURREY,2018,20,49.155532,-122.801422
144 ST & 84 AVE,Casualty,SURREY,2017,14,49.155548,-122.823347
144 ST & 84 AVE,Property damage only,SURREY,2018,7,49.155548,-122.823347
84 AVE & FRASER HWY,Property damage only,SURREY,2018,7,49.155727,-122.774736
122 ST & 84 AVE,Property damage only,SURREY,2018,2,49.155856,-122.88491
120A ST & 84 AVE,Casualty,SURREY,2018,1,49.15594,-122.888508
160 ST & FRASER HWY & TURNING LANE,Property damage only,SURREY,2018,25,49.15734,-122.778895
144 ST & 85A AVE,Property damage only,SURREY,2018,1,49.1578,-122.823405
146 ST & 85A AVE,Property damage only,SURREY,2018,1,49.157835,-122.818082
167 ST & 85A AVE,Casualty,SURREY,2017,1,49.158176,-122.759346
142A ST & 85B AVE,Casualty,SURREY,2017,1,49.158629,-122.827523
159 ST & FRASER HWY & VENTURE WAY,Casualty,SURREY,2017,20,49.158643,-122.782191
159 ST & FRASER HWY & VENTURE WAY,Property damage only,SURREY,2018,9,49.158643,-122.782191
128 ST & 86 AVE,Casualty,SURREY,2017,11,49.158947,-122.868015
128 ST & 86 AVE,Property damage only,SURREY,2018,2,49.158947,-122.868015
156 ST & 86 AVE,Casualty,SURREY,2017,1,49.159132,-122.790178
156 ST & 86 AVE,Property damage only,SURREY,2018,2,49.159132,-122.790178
130 ST & 86 AVE,Casualty,SURREY,2017,2,49.159183,-122.862367
130 ST & 86 AVE,Casualty,SURREY,2018,1,49.159183,-122.862367
148 ST & 86 AVE,Property damage only,SURREY,2018,1,49.159186,-122.812431
192 ST & 86 AVE,Casualty,SURREY,2017,1,49.159186,-122.690624
152 ST & 86 AVE,Casualty,SURREY,2017,7,49.159187,-122.80146
152 ST & 86 AVE,Casualty,SURREY,2018,5,49.159187,-122.80146
132 ST & 86 AVE,Casualty,SURREY,2017,6,49.159574,-122.856891
120 ST & 86 AVE,Property damage only,SURREY,2018,15,49.159584,-122.890346
144 ST & 86A AVE,Property damage only,SURREY,2018,1,49.160023,-122.823423
CYPRESS PL & GALWAY CRES,Property damage only,SURREY,2018,1,49.160407,-122.852795
128 ST & 87 AVE,Casualty,SURREY,2017,2,49.160703,-122.868039
128 ST & 87 AVE,Casualty,SURREY,2018,5,49.160703,-122.868039
129 ST & 87 AVE,Property damage only,SURREY,2018,1,49.160706,-122.865298
188 ST & HARVIE RD,Casualty,SURREY,2018,1,49.160898,-122.701626
192 ST & 87 AVE,Casualty,SURREY,2018,1,49.160976,-122.690586
164 ST & 87 AVE,Property damage only,SURREY,2018,1,49.16125,-122.767728
156 ST & FRASER HWY & TURNING LANE,Casualty,SURREY,2018,27,49.161746,-122.790201
150 ST & 87B AVE & MILTON DR,Casualty,SURREY,2018,1,49.161902,-122.806956
133A ST & 87B AVE,Property damage only,SURREY,2018,1,49.162105,-122.852792
176 ST & 88 AVE & TURNING LANE,Casualty,SURREY,2018,34,49.162548,-122.734712
128 ST & 88 AVE,Casualty,SURREY,2017,75,49.162579,-122.868019
128 ST & 88 AVE,Casualty,SURREY,2018,70,49.162579,-122.868019
129 ST & 88 AVE,Casualty,SURREY,2017,2,49.162584,-122.865325
129 ST & 88 AVE,Casualty,SURREY,2018,2,49.162584,-122.865325
176 ST & 88 AVE,Casualty,SURREY,2017,37,49.162603,-122.734627
130 ST & 88 AVE & QUEEN MARY BLVD,Casualty,SURREY,2017,14,49.162614,-122.862418
130 ST & 88 AVE & QUEEN MARY BLVD,Casualty,SURREY,2018,23,49.162614,-122.862418
130 ST & 88 AVE & QUEEN MARY BLVD,Property damage only,SURREY,2018,8,49.162614,-122.862418
132 ST & 88 AVE,Casualty,SURREY,2017,42,49.162634,-122.856917
132 ST & 88 AVE,Casualty,SURREY,2018,37,49.162634,-122.856917
134A ST & 88 AVE,Casualty,SURREY,2018,2,49.162737,-122.85065
88 AVE & KING GEORGE BLVD & TURNING LANE,Property damage only,SURREY,2018,114,49.162742,-122.845798
160 ST & 88 AVE,Casualty,SURREY,2017,15,49.16275,-122.778863
160 ST & 88 AVE,Casualty,SURREY,2018,23,49.16275,-122.778863
161 ST & 88 AVE,Casualty,SURREY,2018,1,49.162755,-122.776017
127 ST & 88 AVE,Casualty,SURREY,2018,1,49.162761,-122.871229
88 AVE & LAUDER DR,Casualty,SURREY,2017,6,49.16277,-122.841678
88 AVE & LAUDER DR,Casualty,SURREY,2018,5,49.16277,-122.841678
88 AVE & LAUDER DR,Property damage only,SURREY,2018,5,49.16277,-122.841678
158 ST & 88 AVE,Property damage only,SURREY,2018,3,49.162777,-122.78519
140 ST & 88 AVE,Casualty,SURREY,2018,59,49.162789,-122.834662
140 ST & 88 AVE,Property damage only,SURREY,2018,37,49.162789,-122.834662
139 ST & 88 AVE,Casualty,SURREY,2018,2,49.162791,-122.837533
157 ST & 88 AVE,Casualty,SURREY,2017,2,49.162795,-122.787433
157 ST & 88 AVE,Casualty,SURREY,2018,1,49.162795,-122.787433
156A ST & 88 AVE,Casualty,SURREY,2017,1,49.162797,-122.788649
88 AVE & NORDEL WAY,Casualty,SURREY,2017,5,49.162818,-122.884839
88 AVE & NORDEL WAY,Casualty,SURREY,2018,5,49.162818,-122.884839
192 ST & 88 AVE,Casualty,SURREY,2017,6,49.162818,-122.690589
192 ST & 88 AVE,Casualty,SURREY,2018,14,49.162818,-122.690589
148 ST & 88 AVE,Casualty,SURREY,2017,25,49.162822,-122.812386
154 ST & 88 AVE,Property damage only,SURREY,2018,2,49.162824,-122.796144
184 ST & 88 AVE,Casualty,SURREY,2017,1,49.162828,-122.71276
142A ST & 88 AVE,Casualty,SURREY,2018,6,49.162833,-122.827711
187 ST & 88 AVE,Casualty,SURREY,2017,1,49.162837,-122.705348
168 ST & 88 AVE,Property damage only,SURREY,2018,3,49.162838,-122.756632
152 ST & 88 AVE,Casualty,SURREY,2017,54,49.162842,-122.801493
152 ST & 88 AVE,Property damage only,SURREY,2018,50,49.162842,-122.801493
88 AVE & HARVIE RD,Casualty,SURREY,2017,5,49.162849,-122.698855
145 ST & 88 AVE & UNNAMED LANE,Casualty,SURREY,2018,1,49.162855,-122.820691
146 ST & 88 AVE,Casualty,SURREY,2018,13,49.162855,-122.817901
141A ST & 88 AVE,Casualty,SURREY,2017,6,49.162873,-122.830966
141A ST & 88 AVE,Property damage only,SURREY,2018,3,49.162873,-122.830966
88 AVE & MALL ACCESS,Casualty,SURREY,2017,3,49.163045,-122.876218
0 AVE & 184 ST,Casualty,SURREY,2016,1,49.002159,-122.713777
100 AVE & 123A ST,Casualty,SURREY,2016,1,49.184428,-122.880686
100 AVE & 130 ST,Casualty,SURREY,2016,1,49.184418,-122.862097
100 AVE & 137A ST,Casualty,SURREY,2016,1,49.184301,-122.84174
100 AVE & 149 ST,Casualty,SURREY,2016,1,49.184207,-122.809358
100 AVE & 155 ST,Casualty,SURREY,2016,1,49.184323,-122.792584
100A AVE & 120 ST,Casualty,SURREY,2016,1,49.185644,-122.890092
100A AVE & 141 ST,Casualty,SURREY,2016,1,49.185269,-122.831394
101 AVE & 120 ST,Casualty,SURREY,2016,1,49.186427,-122.890057
101 AVE & 132 ST,Casualty,SURREY,2016,1,49.186205,-122.856511
101 AVE & 142 ST,Casualty,SURREY,2016,1,49.186033,-122.828655
101 AVE & 143 ST,Casualty,SURREY,2016,1,49.186049,-122.825917
101 AVE & 158 ST,Casualty,SURREY,2016,1,49.185728,-122.784185
101 AVE & SEMIAHMOO RD,Casualty,SURREY,2016,1,49.186319,-122.860963
101 AVE & WHALLEY BLVD,Casualty,SURREY,2016,1,49.18611,-122.84321
101A AVE & 148 ST,Casualty,SURREY,2016,1,49.186903,-122.812025
101A AVE & 150 ST,Casualty,SURREY,2016,1,49.18663,-122.806458
101A AVE & 160 ST,Casualty,SURREY,2016,1,49.187037,-122.778582
102 AVE & 120 ST,Casualty,SURREY,2016,1,49.188142,-122.890057
102 AVE & 122 ST,Casualty,SURREY,2016,1,49.188136,-122.884024
102 AVE & 128A ST,Casualty,SURREY,2016,1,49.188082,-122.866095
102 AVE & 137A ST,Casualty,SURREY,2016,1,49.187791,-122.841196
102 AVE & 139 ST,Casualty,SURREY,2016,1,49.187761,-122.837153
102 AVE & 144 ST,Casualty,SURREY,2016,1,49.187753,-122.823112
102 AVE & 161 ST,Casualty,SURREY,2016,1,49.187762,-122.775212
102 AVE & SEMIAHMOO RD,Casualty,SURREY,2016,1,49.188064,-122.861793
102A AVE & 133 ST,Casualty,SURREY,2016,1,49.188868,-122.85429
102A AVE & 133A ST,Casualty,SURREY,2016,1,49.188863,-122.852088
102A AVE & 149A ST,Casualty,SURREY,2016,1,49.188867,-122.807774
102A AVE & 153 ST,Casualty,SURREY,2016,1,49.188758,-122.79806
102B AVE & 156 ST,Casualty,SURREY,2016,1,49.189299,-122.789791
103 AVE & 128 ST,Casualty,SURREY,2016,1,49.189783,-122.867733
103 AVE & 133A ST,Casualty,SURREY,2016,1,49.189757,-122.852083
103A AVE & 122 ST,Casualty,SURREY,2016,1,49.190608,-122.883979
103A AVE & 144 ST,Casualty,SURREY,2016,1,49.190782,-122.823101
103A AVE & 152A ST,Casualty,SURREY,2016,1,49.19044,-122.799504
104 AVE & 124A ST,Casualty,SURREY,2016,1,49.191783,-122.876739
104 AVE & 125 ST,Casualty,SURREY,2016,1,49.191776,-122.876253
104 AVE & 125 ST & 125A ST,Casualty,SURREY,2016,1,49.191765,-122.87524
104 AVE & 143A ST,Casualty,SURREY,2016,1,49.191502,-122.824427
104 AVE & 149A ST,Casualty,SURREY,2016,1,49.191541,-122.807737
104 AVE & 154A ST,Casualty,SURREY,2016,1,49.191572,-122.793927
104 AVE & 157 ST,Casualty,SURREY,2016,1,49.191563,-122.786942
104 AVE & 165 ST,Casualty,SURREY,2016,1,49.191546,-122.763617
104 AVE & 170A ST,Casualty,SURREY,2016,1,49.191567,-122.750113
104 AVE ONRAMP & TRANS-CANADA HWY,Casualty,SURREY,2016,1,49.193586,-122.782685
104A AVE & 155A ST,Casualty,SURREY,2016,1,49.192473,-122.791146
104A AVE & WHALLEY BLVD,Casualty,SURREY,2016,1,49.192772,-122.842213
105 AVE & 128 ST,Casualty,SURREY,2016,1,49.193575,-122.867693
105 AVE & 132 ST,Casualty,SURREY,2016,1,49.193267,-122.856443
105 AVE & CITY PKY,Casualty,SURREY,2016,1,49.193136,-122.848243
